Particle,Count,WeightedCount,Z,A,MaxLET_MeV_cm2_mg,MeanLET_MeV_cm2_mg
alpha,36121.0,34.07034506585574,2.0,4.0,1.6976,0.4853026531019434
deuteron,14118.0,13.265247342257673,1.0,2.0,0.540082,0.0747364515205215
He3,5436.0,5.198628133754,2.0,3.0,1.89783,0.31869619845968095
triton,1893.0,1.8461677338168299,1.0,3.0,0.445029,0.09098425081717032
Mg24,477.0,0.43632368547894196,12.0,24.0,12.2046,4.716133938733695
Si27,447.0,0.420165161473,14.0,27.0,12.4442,3.920745710695631
Li6,418.0,0.40845011600000003,3.0,6.0,2.38443,1.1854605237550355
Al27,343.0,0.30326729213951004,13.0,27.0,10.3077,3.713039678478053
Mg25,328.0,0.312742529656,12.0,25.0,11.9557,4.21285693256682
C12,328.0,0.30581935465916,6.0,12.0,5.68894,3.5228479379110373
Si28,326.0,0.176916683143075,14.0,28.0,11.8171,3.3345780412484762
O16,286.0,0.27404878507999997,8.0,16.0,7.74907,4.553194158421626
Na23,238.0,0.223958753229,11.0,23.0,10.8851,4.7482940028948715
Al26[228.30500],229.0,0.214383574689,13.0,26.0,12.8672,4.174838256054224
N14,225.0,0.214153922321,7.0,14.0,7.35141,3.8882827557379573
Al26,225.0,0.214308934411,13.0,26.0,12.2693,4.4367994426383985
Ne21,200.0,0.190152861217262,10.0,21.0,9.90522,4.8239108189585425
Ne20,199.0,0.190135895103,10.0,20.0,9.68969,4.463949281679569
O15,195.0,0.18611684307999998,8.0,15.0,7.44286,3.7844434308659065
C13,187.0,0.178369895798,6.0,13.0,5.42538,3.365700381427001
N15,186.0,0.179410183,7.0,15.0,6.59453,3.745124630795277
Mg26,167.0,0.153490640435,12.0,26.0,10.6885,3.946221053428289
Na22,147.0,0.140862745168,11.0,22.0,10.7322,4.3767485971496365
Na22[583.05000],110.0,0.105167083096,11.0,22.0,10.8121,4.915542852290911
C11,97.0,0.09354010600000001,6.0,11.0,5.60382,3.484711109649854
Ne22,91.0,0.085888024308,10.0,22.0,9.51468,4.470185266307171
Li7,87.0,0.082199615475,3.0,7.0,2.29843,1.2469202830884594
F18,71.0,0.06854345799999999,9.0,18.0,8.98585,5.015725888315702
B10,64.0,0.060844743865,5.0,10.0,4.31753,3.1528098762283676
B11,62.0,0.05980486000000001,5.0,11.0,4.30546,2.96681991280625
Be7,51.0,0.049329982,4.0,7.0,3.27355,1.4476531656226024
Al25,48.0,0.046338618,13.0,25.0,9.33485,4.097431087929511
He6,45.0,0.043623183999999995,2.0,6.0,1.40645,0.534666683812282
Na24[472.20710],43.0,0.040548578815,11.0,24.0,8.95868,4.292103231900206
gamma,41.0,15.09357501927,0.0,0.0,0.00137644,8.907119504494721e-05
O17,34.0,0.032834982,8.0,17.0,7.74987,4.363817704351994
Be9,34.0,0.033042197999999995,4.0,9.0,3.23543,2.415132672964977
Si26,31.0,0.029927775,14.0,26.0,11.6851,5.262678027621165
C14,30.0,0.028945538,6.0,14.0,5.27332,3.930787560376801
Si29,28.0,0.022225491652,14.0,29.0,9.03313,3.408950942050662
N13,27.0,0.024102721902813998,7.0,13.0,6.29703,4.132295818516403
Mg23,22.0,0.021231435,12.0,23.0,10.8785,5.421923968493416
F20,21.0,0.020258652999999995,9.0,20.0,8.30075,4.926449175413984
Na24,20.0,0.019301376000000002,11.0,24.0,10.0204,3.7363597928546652
Al28,19.0,0.0164152077,13.0,28.0,8.2994,3.6128349518349685
C10,18.0,0.017347435,6.0,10.0,5.47146,3.507470720270749
Na25,17.0,0.016393365,11.0,25.0,10.7614,4.613101205418351
Al29,15.0,0.014483576000000001,13.0,29.0,8.95963,3.6827158577010266
F19[197.14300],12.0,0.011566716999999999,9.0,19.0,8.38811,3.7474160419866758
O14,11.0,0.010609608000000001,8.0,14.0,7.28811,4.120911941258338
O18,10.0,0.009639664000000003,8.0,18.0,7.64626,4.397027359562531
Li8,10.0,0.009695096,3.0,8.0,2.17937,1.621419760083345
P28,8.0,0.0077254,15.0,28.0,7.39901,3.3176488909273303
F19,8.0,0.007718994,9.0,19.0,7.99188,6.10450816263622
P30,7.0,0.00580217904,15.0,30.0,8.65391,4.274258676916112
Be10,7.0,0.00675917,4.0,10.0,3.29749,2.9942645226144626
Na21,4.0,0.003863713,11.0,21.0,10.5924,5.75290625567427
Si30,3.0,0.002898028,14.0,30.0,3.34798,1.9138721871286266
Ne19,3.0,0.002892902,10.0,19.0,9.31036,5.585579264634611
N16[120.42000],3.0,0.002900776,7.0,16.0,6.2275,5.672058114325269
B12,3.0,0.002896386,5.0,12.0,4.21843,4.134833333333333
Ne23,3.0,0.002895608,10.0,23.0,5.46661,3.7216191337846833
Ne19[238.27000],3.0,0.002891855,10.0,19.0,7.64466,5.5786676760314755
F17,2.0,0.001928411,9.0,17.0,7.83149,6.305304808202194
N17,2.0,0.001937422,7.0,17.0,1.94892,1.2280600000000002
C15,2.0,0.001929548,6.0,15.0,4.90897,4.74534
Al24[425.81000],1.0,0.000966938,13.0,24.0,8.23527,8.23527
F18[1121.36000],1.0,0.000962528,9.0,18.0,7.32557,7.32557
N12,1.0,0.000962853,7.0,12.0,6.00341,6.00341
Mg27,1.0,0.000965878,12.0,27.0,2.79506,2.79506
F21,1.0,0.000963197,9.0,21.0,1.4255,1.4255
P29,1.0,0.000967084,15.0,29.0,4.52324,4.52324
